,index,id,participantID,timestamp,scene,game_setup,game_gameplay,game_scoring,game_difficulty,game_firstTimeScore,gameScore_score,gameScore_thoughts,debrief_strategy,debrief_difficulties,debrief_questions,debrief_external_aids,game_edited,edited_game_fields
0,17,RfP7c4trKFGmDp6xpiG8,6172feb1665491d1efbce164,2021-10-22 20:57:12.168000+00:00,medium_objects,Place small ramp in front of bin where there is space in the room.,"Take ball (any), and try to get it into the bin by rolling it hard (and straight) enough to pass the small ramp. When/if the bin hits over, game over. ",1 point per successful hit. ,1,6,,,,,,,False,
1,18,eYM9NgeUlg9mGpwlGemD,613a4662d21e1715cc079587,2021-10-22 20:58:20.433000+00:00,many_objects,,"The game I can play in this room it is call memorandum. It could be a game where you have to memorize a part of the room. For example, the wall with the colored figures.","the scoring system can be the more hits you have, the more points you will have.
",1,"from 1 to 10. I would say an 8 haha, I'm not good at memorizing",I scored 7,"I think it might be better if the objects disappeared so that I have to arrange them myself
","Starting by memorizing the shapes of objects and colors could be of great help.
","yes, it could be that the game programming is changed to make the game a little more dynamic
",I would like to play the game when it is fully developed. ,no,False,
2,19,SFpazSkgQ7MFSwDEa3c9,5f77754ba932fb2c4ba181d8,2021-10-22 21:02:15.391000+00:00,many_objects,Open the top drawer beside your bed.,"First you pick up a dodgeball or a golf ball and stand right beside the room leaving out of the room. After that you throw either the dodgeball or the golf ball to the bin or the top drawer that we opened earlier. The game ends when you have thrown all the balls (six in total, 3 golfballs and 3 dodgeballs) and then you tally up your points.","To score in this game you just have to throw any of the balls either to top drawer or the bin. 

If you get a golf ball in the bin you get only 1 point, but if you suceed to get a dodgeball in you get 2 points.

The other method to score points is to throw in the golfballs to the top drawer. If you get the golf ball you get 3 points. 

But if you miss any of the throws to either the bin or the drawer you get a reduction of 1 point.",1,10,,,,,,,False,
3,20,lchV8TQjaHcYtHAqR31Q,614b603d4da88384282967a7,2021-10-23 20:36:08.420000+00:00,many_objects,,"Create a tower with the largest number of figures available.
",Each level of the tower will count as 1 point,3,I would score 6 points,5,It is very hard,I thought as if I were a child playing with toys. I saw the wooden figures and I thought it was funny to try to pile them up and see how high could I build a tower.,No.,It would be nice to let the user change the key bindings.,"No, just my imagination",False,
4,21,tM0MidzjBJBLkOEPYr2F,616a7fe177d97578e592113b,2021-10-23 22:33:04.491000+00:00,medium_objects,The ball must roll down the ramp and hit as many blocks as possiblle,Minni ball bash,The more blocks it hits the more points you get,2,4,2,I dont like this game that mutch,All making use of grafity and placement of the blocks. That will deside the outcome and the score,No. The game is unprodictable and that was the end score,No,No,False,
5,34,elaUTwEvCJFrZToj8DBY,5bc79f652885710001a0e82a,2021-11-02 21:04:38.911000+00:00,few_objects,,Throwing w Dogball to the can form 1 meter distance,1 Dogball in the bin = 1 point,1,1,"2, after some fails mat start","the CurvedRamp was no need, the rules of the game was not specified well","Finding some stuff to make as simple game as possible, there was balls with the bin or blocs of wooden toys","yes, i didn't know how physics works exactly in current room",no,"no, i imagined it all in my head",True,"gameplay,difficulty,firstTimeScore"
6,35,ImigmCOsFcfkSwe0ctO2,614dec67f6eb129c3a77defd,2021-11-02 21:19:40.230000+00:00,medium_objects,Position the in front of the bed. Remove pillow and teddybear from the bed.,Try to trow the balls inside the bin from other side of the room. ,Dodge ball is 10 points. Basketball is 20 points. Beach ball is 30 points. Every miss is -1 point. ,1,30,15,For the firs run the distance could be shorter to allow the player to get used to the physic of the game. ,"I consider the difficulty of setting up the game. I tried moving some objects around and see how precisely they can be manipulated into desired positions. Then I looked ad all the objects in the room and tried to see what can be combined into a game, that is not too difficult to setup. ",No.,No.,Half way through the game I started to use a notepad to keep the score.,True,"setup,gameplay,scoring"
7,36,d3UwxDa5ebWgG9emiJN7,613e2622c78769f8113f2e3b,2021-11-03 18:53:28.754000+00:00,many_objects,"To prepare the room for the game you have to place the bin in front of the desk in the same line as chair. Also, place the carpet to the center of the room, behind the bin.","First stage of the game would be throwing the ball to the bin in a specific amount time. Next step is placing objects that are the same color as the rectangles on the carpet, also in the specific amount of time.","First, we count all the times the ball landed in the bin.
In the second stage of the game, the more objects the player puts before the time ends, the more points he gets. The final score would be a sum of the points from both stages.",0,"I woud probably score a high amount of points, because the game seems to be very easy for me.",,,,,,,False,
8,37,Kns1TGpthEFdKLHHOcey,615b40bb6cdb0f1f6f291f45,2021-11-03 18:56:40.855000+00:00,few_objects,The room needs to have a completely open space in the middle. There should be nothing obstructing the way of the player.,You need the dodgeballs and the curved ramp. You would put the curved ramp on one end and then stand on the other end. you would then roll the ball hard enough to get over the curved ramp and would get a point when it goes over.,"To score in my game, the ball needs to get over the ramp. If you manage to get the ball over on your first attempt that's 3 points, the second is 2 points and anything after that is 1 point.",4,I would score about 1.,1,It is definitely a lot harder than I had imagined playing a game like that on a laoptop.,I considered everything that was in the room that would make for a fun and interesting game you could play alone. I also looked around for what I could use to the play the game and what the room had that I could move.,"Yes I did, at some point, I couldn't move from the corner that I was in and I wanted to move forward to get a dodgeball. ",That was a lot more complicated than I thought but a very nice challenge.,"Yes I did, I thought of fun games I used to play growing up as an only child just to get the ideas flowing and bowling came up and I saw the ramp and balls and made something similar.",True,"difficulty,firstTimeScore"
9,41,cdo6CztpMH0It12THBAy,615452aaabb932ada88ef3ca,2021-11-03 20:59:06.262000+00:00,many_objects,"I got 3 Different ideas. The first 2 can be setup by yourself. 
1st one is a simple basketball game using the bin as a basket and the dodgeballs as bastketballs put the bin on one end of the room or on the bed (for a higher difficulty) and use the other end of the room as a marker from where you throw. 
2nd You can setup a Mini Golf course using the Ramps, Pyramids and different building blocks to setup a course the Bridges would be used as goals. 
3rd requires a setup from a different Person. One Person hides small object inside the room (like the cellhpone, Key, Credit Card, Cd and so on) and then you have to find all objects in a given time limit. ","1. Basketball 
2. Mini Golf
3. ""hide and seek""","1. 10 tries 1 Point if the ball lands in the Bin 3 Points if it lands in the Bin without touching the floor before. 
2. Number of tries to hit the goal (just like regular golf Par would be determined by the difficulty of the course)
3. Number of objects found with a difficulty multiplier for the Time limit 5 minutes = 1 Point per Object 3 miutes = 2 Points 90 seconds = 3 Points",1,The Basketball game is pretty easy. Mini golf is very difficult because of the weird physics engine used. And hide and seek depends on the places where things are hidden.,5,I built the basketball game (and i made a mistake when predicting my score i thought i can continue writing in the next line by pressing shift+enter but i continued the survey) and i should have built it the other way round so placing then bin next to the desk. Because the edge of the carpet can stop your dodge balls. ,First i saw all the different building blocks and thought of a Jenga like game where u had to place blocks onto another without them falling over but the physics engine is really bad and the controls are too sensitive. Then i tried the mini golf thing i described but noticed a lot of problems with the golf balls bouncing all over the place but not rolling. Then i settled for the Basketball game because the dodge balls gave me the least amount of trouble. ,I think my pc is too powerful for this and i think the physics are based on FPS. So i have to move every object extra carefully. If you are holding an object it shouldn't collide with everything i knocked of the PC a dozen times trying to move a pen. And you cant pick up the pc so it is stuck on the ground and you have to reset the room really annoying. But on the other hand objects will just clip through walls. When trying to hide things behind a blinder most of the time they clipped through the window disappearing into the void. Then i tried hiding the credit card und a block on the shelf. Everytime the block touches the card it clips through the shelf. ,The Robot you control looks like straight out of a cheap horror movie maybe change the model :D,No,True,"setup,gameplay,scoring,difficulty,firstTimeScore"
10,42,jhO40BilcfyPMScEKLiE,57aa430b4cda6e00018420e9,2021-11-03 21:30:48.582000+00:00,medium_objects,,Throw teddy onto pillow 10 times,Score 1 point for everytime teddy lands on pillow,2,4,5,,"I would do something In real life. I have played this game before with my girlfriend, who enjoyed it.",no,no,No. I came up with it  in my mind,False,
11,43,rTVvF1dBAKE8juHCF69f,5d29412ab711e9001ab74ece,2021-11-04 20:13:03.030000+00:00,many_objects,No preparation required,"Play a game of tower building using colored blocks. Your objective is to build highest possible tower that is stable, starting with any single block and ending with any pyramid block. No other block then first one is allowed to touch floor or walls or any non block objects in the room.",Your score is number of blocks in tower including first and last (pyramid block),4,4,5,The game would be much easier but low precision of controls and wonky physics increase difficulty significantly ,I tried to find game that would allow for straightforward rules without much ambiguity and preparation needed and would have simple scoring system. Tower building seemed like best fit.,Controls were somewhat imprecise which made testing (and then playing) game much harder,none,no,False,
12,45,gZ8ce0O2anOHAMWWJJZw,613bb29f16252362f4dc11a3,2021-11-04 20:23:20.848000+00:00,medium_objects,You put the bin in the midle of the room and prepare the dodgeball and the wooden ramp.,You position the wooden ramp in different ways depending. Then You have to throw the ball at it and it should bounce into the bin. ,"Each ""wooden ramp"" position You make You have 5 tries, if You get it right You get a point. Each game You choose 5 different Ramp positions. So the maximum of Points is 5. One for each Ramp possition",4,1,I scored 1,It is a lot harder when I'm not used to the game physics.,"Use a game people are familiar with using objects in the game. Throwing a ball into something to score is a known game, but hard in a game engine. Its also a game I used to play a a kid a lot in my own room. ",I accidentally turned off the browser using a key combination on my keyboard using ctrl+something.,"Not really, but the bin is very buggy if You pick it up too close. ",Not really. But I had like 3 tries in the quiz.,True,"difficulty,firstTimeScore"
13,48,Q9FPLgdunp3o75RFGEU7,616e5ae706e970fe0aff99b6,2021-11-08 15:58:09.085000+00:00,many_objects,you put the small ramp towards the center of the room about 1 meter away from the bin facing it,"you roll the golf balls and the dodgeballs towards the small ramp aiming to put them in the bin.
you sit down in front of the door and try to use the correct amount of power and aim precisely so that the balls go off the ramp into the air and then into the bin",dodgeballs count as 3 points and golfballs count as 6.,3,6,0,,"I like simple games, especially when I play alone. The most important thing in a single player game is that it's challenging so i thought of a way to use the balls and bin so that the more you play the game the better you become.",It was lagging a lot.,No,I took notes to remember the names of objects,False,
14,49,oevKPEL8LXqT4gswKdMK,609c15fd6888b88a23312c42,2021-11-08 16:02:34.927000+00:00,medium_objects,,"Player has to throw dodgeballballs, basketball and beachball into the bin. Player has to stand on the carpet.",Every scored ball is 1 point. Every 3 balls scored in a row are 1 extra poiunt for the player. Player has 10 throws.,1,3,2 points,My game is really hard because the physics in the game is crazy.,,,,,False,
15,51,5DOVQT0dE9jCRwYHvIx6,5f5d6c3cbacc025bf0a03440,2021-11-08 16:54:14.336000+00:00,few_objects,"First the bin should be turned upside down and placed on the side of the bed; Subsequently, the cubeblocks must be placed in a pyramidal way on top of the bin.",The game that can be played is to use the dodgeball to throw the objectives placed on top of the bin (cubeblocks); all this must be done sitting from the chair at the other end of the room; being two dodgeballs there are only two chances to achieve the most points.,"The scoring system consists in that each cubeblock that falls through the dodgeball will be equal to 1 point (6 cubeblocks equal 6 points); With only two dodgeballs, you only have 2 chances to get points; In case of throwing the 6 cubeblocks on the first shot, they must be replaced to get more points with the last dodgeball.",2,6,5,Nothing to add.,"The strategy I used was to observe around the room the objects at my disposal, in this way to identify those that could be useful to serve as a game. What I considered was that the game should be simple but challenging, addictive and above all enjoyable.",The controls on the platform were a little clunky to position the objects as I envisioned them in my mind.,No question or comment to add.,I did not use any external aid to carry out the task.,False,
16,53,yWwOhJSjWiuzNkkHzhft,616e4f7a16145200573161a6,2021-11-08 21:10:48.702000+00:00,few_objects,"closed blinds
the curved ramp with the square boxes on the side
the bin after the ramp",roll the dodge ball onto the bin across the ramp with the cube blocks around to direct the ball onto the ramp to the bin,if a ball enters the box its a point,3,maybe 1 point in 5 tries,0,its too complicated i couldnt play well,tried to move the objects to where I needed to put them,"the objects were hard to move around 
I couldn't align them properly for the game to work perfectly",none,took screenshot,False,
17,54,GLPtcvJUaHkUYK7iEPRq,613e4bf960ca68f8de00e5e7,2021-11-08 21:14:13.145000+00:00,medium_objects,,"The pieces on the shelf between the two windows must be stacked in such a way as to create a kind of castle. You have to create two equal castles, the colors are not important but if you choose certain colors points are added.

To create each castle you have to follow this order of pieces (from bottom to top):
- Bridge
- Flat piece
- Cylinder
- Square
- Pyramid","For each castle built in the correct order of pieces will be awarded 10 points.

If the castles follow this order of colors extra points will be awarded:

First castle:
- Green bridge
- Glat yellow piece
- Yellow cylinder
- Green square
- Orange pyramid

Second castle: 
- Bridge color wood
- Flat gray piece
- Cylinder color wood
- Blue cylinder
- Red pyramid

If 3 of the pieces have the correct color order (in the corresponding village) 5 points per castle will be awarded, if 4 colors are good it will be 7 points per castle and if all colors are good, 10 points per castle. The maximum score is 40 points.",0,40,0 ,In real life this game would be very easy (that's why I thought I would get the maximum score) but here it's more complex because stacking the pieces without them falling is quite difficult.,,,,,False,
